Alimento,Gramos
"Cheese, Camembert",38.0
"Cheese, Brie",128.0
"Cheese, Cheddar",9.0
"Cheese, Cheddar, reduced fat",9.0
"Cheese, Cheddar, nonfat or fat free",9.0
"Cheese, Colby",9.0
"Cheese, Colby Jack",9.0
"Cheese, Feta",38.0
"Cheese, Fontina",9.0
"Cheese, goat",135.0
"Cheese, Gouda or Edam",9.0
"Cheese, Gruyere",9.0
"Cheese, Limburger",227.0
"Cheese, Monterey",9.0
"Cheese, Monterey, reduced fat",9.0
"Cheese, Mozzarella, NFS",9.0
"Cheese, Mozzarella, part skim",9.0
"Cheese, Mozzarella, reduced sodium",9.0
"Cheese, Mozzarella, nonfat or fat free",9.0
"Cheese, Muenster",9.0
"Cheese, Muenster, reduced fat",9.0
"Cheese, Parmesan, dry grated",246.0
"Cheese, Parmesan, dry grated, reduced fat",246.0
"Cheese, Parmesan, hard",9.2
"Cheese, Parmesan, dry grated, fat free",15.0
"Cheese, Port du Salut",9.0
"Cheese, Provolone",9.0
"Cheese, provolone, reduced fat",9.0
"Cheese, Swiss",9.0
"Cheese, Swiss, reduced sodium",9.0
"Cheese, Swiss, reduced fat",9.0
"Cheese, Swiss, nonfat or fat free",9.0
"Cheese, Cheddar, reduced sodium",9.0
"Cheese, paneer",246.0
"Cheese, Mexican blend",113.0
"Cheese, Mexican blend, reduced fat",113.0
"Queso Anejo, aged Mexican cheese",135.0
Queso Asadero,9.0
Queso Fresco,9.0
Queso cotija,246.0
"Cheese, cottage, NFS",246.0
"Cheese, cottage, creamed, large or small curd",246.0
"Cottage cheese, farmer's",246.0
"Cheese, Ricotta",246.0
"Cheese, cottage, with fruit",246.0
"Cheese, cottage, with vegetables",246.0
"Cheese, cottage, dry curd",244.0
"Cheese, cottage, salted, dry curd",244.0
Puerto Rican white cheese,246.0
"Cheese, cottage, low fat",246.0
"Cheese, cottage, lowfat, with fruit",246.0
"Cheese, cottage, lowfat, low sodium",246.0
"Cheese, cottage, lowfat, lactose reduced",246.0
"Cream cheese, regular, plain",246.0
"Cream cheese, regular, flavored",246.0
"Cream cheese, light",246.0
"Cheese, American and Swiss blends",9.0
"Cheese, American",9.0
"Cheese, American, reduced fat",9.0
"Cheese, American, nonfat or fat free",9.0
"Cheese, American, reduced sodium",9.0
"Cheese spread, American or Cheddar cheese base, reduced fat",9.0
"Cream cheese, fat free",246.0
"Cheese, processed cheese food",244.0
"Cheese, processed, with vegetables",9.0
"Cheese,  with wine",28.35
"Cheese spread, American or Cheddar cheese base",9.0
"Cheese spread, Swiss cheese base",28.35
"Cheese spread, cream cheese",246.0
"Cheese spread, pressurized can",246.0
Imitation cheese,66.0
"Cheese, cottage cheese, with gelatin dessert",246.0
"Cheese, cottage cheese, with gelatin dessert and fruit",246.0
"Cheese, cottage cheese, with gelatin dessert and vegetables",246.0
Cheese ball,15.0
Artichoke dip,15.0
Spinach and artichoke dip,15.0
Seafood dip,15.0
Cheese dip with chili pepper,15.0
Cheese dip,15.0
Topping from cheese pizza,40.0
Topping from vegetable pizza,40.0
Topping from meat pizza,40.0
Topping from meat and vegetable pizza,40.0
Cheese fondue,15.0
Cheese souffle,246.0
Welsh rarebit,15.0
"Cheese sandwich, NFS",75.0
"Cheese sandwich, American cheese, on white bread",75.0
"Cheese sandwich, American cheese, on wheat bread",75.0
"Cheese sandwich, cheddar cheese, on white bread",75.0
"Cheese sandwich, cheddar cheese, on wheat bread",75.0
"Cheese sandwich, reduced fat cheese, on white bread",75.0
"Cheese sandwich, reduced fat cheese, on wheat bread",75.0
"Grilled cheese sandwich, NFS",75.0
"Grilled cheese sandwich, American cheese, on white bread",75.0
"Grilled cheese sandwich, American cheese, on wheat bread",75.0
"Grilled cheese sandwich, cheddar cheese, on white bread",75.0
"Grilled cheese sandwich, cheddar cheese, on wheat bread",75.0
"Grilled cheese sandwich, reduced fat cheese, on white bread",75.0
"Grilled cheese sandwich, reduced fat cheese, on wheat bread",75.0
Cheese sauce,15.0
Alfredo sauce,246.0
Alfredo sauce with added vegetables,246.0
Alfredo sauce with meat,246.0
Alfredo sauce with meat and added vegetables,246.0
Alfredo sauce with poultry,246.0
Alfredo sauce with poultry and added vegetables,246.0
Alfredo sauce with seafood,246.0
Alfredo sauce with seafood and added vegetables,246.0
"Mozzarella sticks, breaded, baked, or fried",7.0
"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",246.0
"Meat, NFS",30.0
"Meat, ground, NFS",85.0
"Baby Toddler meat, NFS",15.0
"Beef, NFS",30.0
"Steak, NS as to type of meat, NS as to fat eaten",30.0
"Beef, steak, NFS",30.0
"Beef, steak, chuck",30.0
"Beef, steak, cube",30.0
"Beef, steak, flank",30.0
"Beef, steak, ribeye, NS as to fat eaten",30.0
"Beef, steak, ribeye, lean and fat eaten",30.0
"Beef, steak, ribeye, lean only eaten",30.0
"Beef, steak, round",30.0
"Beef, steak, sirloin, NS as to fat eaten",30.0
"Beef, steak, sirloin, lean and fat eaten",30.0
"Beef, steak, sirloin, lean only eaten",30.0
"Beef, steak, strip, NS as to fat eaten",30.0
"Beef, steak, strip, lean and fat eaten",30.0
"Beef, steak, strip, lean only eaten",30.0
"Beef, steak, T-bone, NS as to fat eaten",30.0
"Beef, steak, T-bone,  lean and fat eaten",30.0
"Beef, steak, T-bone, lean only eaten",30.0
"Beef, steak, tenderloin",30.0
"Beef, steak, country fried",30.0
"Beef, oxtails",240.0
"Beef, neck bones",45.0
"Beef, shortribs",70.0
"Beef, cow head",20.0
"Beef, roast",60.0
"Beef, pot roast",60.0
"Beef, stew meat",20.0
"Beef, corned",30.0
"Beef, brisket",60.0
"Beef, sandwich steak",66.0
"Beef, ground, raw",246.0
"Beef, ground",20.0
"Beef, ground, patty",30.0
"Beef, bacon, cooked",28.35
"Beef, bacon, reduced sodium, cooked",28.35
"Beef, dried, chipped, uncooked",28.35
"Beef, dried, chipped, cooked in fat",28.35
Beef jerky,84.0
Baby Toddler beef,15.0
"Pork, NFS",30.0
"Pork, ground",85.0
"Pork, carnitas",20.0
Pork jerky,9.2
"Pork, chop, NS as to fat eaten",120.0
"Pork, chop, lean and fat eaten",120.0
"Pork, chop, lean only eaten",120.0
"Pork, chop, coated, NS as to fat eaten",120.0
"Pork, chop, coated, lean and fat eaten",120.0
"Pork, chop, coated, lean only eaten",120.0
"Pork, chop, stuffed",180.0
"Pork, steak, NS as to fat eaten",30.0
"Pork, steak, lean and fat eaten",30.0
"Pork, steak, lean only eaten",30.0
"Pork, steak, coated",30.0
"Pork, tenderloin",30.0
Ham,60.0
"Ham, prosciutto",9.2
"Ham, canned",60.0
"Ham, ground",85.0
"Pork, roast",60.0
"Pork, roll",30.0
"Canadian bacon, cooked",66.0
"Bacon, NS as to type of meat, cooked",5.0
"Bacon, NS as to type of meat, reduced sodium, cooked",5.0
"Pork bacon, NS as to fresh, smoked or cured, cooked",5.0
"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",5.0
"Pork bacon, smoked or cured, cooked",5.0
"Bacon or side pork, fresh, cooked",8.0
"Pork bacon, smoked or cured, reduced sodium, cooked",5.0
"Fat back, cooked",26.0
"Ribs, NFS",70.0
"Pork, ribs",70.0
"Pork, cracklings",246.0
"Pork, ears",85.0
"Pork, bones",45.0
"Pork, pig's feet",85.0
"Pork, pig's feet, pickled",85.0
"Pork, ham hocks",85.0
"Pork, belly",30.0
Pork skin rinds,1.0
Baby Toddler ham,15.0
Baby Toddler meat stick,28.0
"Lamb, NS as to cut",30.0
"Lamb, chop",180.0
"Lamb, ground",85.0
Goat,9.2
"Veal, chop",180.0
"Veal, ground",85.0
Mock chicken legs,28.0
Rabbit,246.0
"Venison, NFS",246.0
"Venison, steak",85.0
Venison/deer jerky,14.0
Venison sausage,85.0
Moose,246.0
Bear,246.0
Caribou,246.0
Bison,85.0
Groundhog,246.0
Opossum,246.0
Squirrel,246.0
Beaver,246.0
Raccoon,246.0
Armadillo,246.0
Wild pig,246.0
Ostrich,246.0
"Chicken, NS as to part and cooking method, NS as to skin eaten",135.0
"Chicken, NS as to part and cooking method, skin eaten",135.0
"Chicken, NS as to part and cooking method, skin not eaten",135.0
"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",135.0
"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",135.0
"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",135.0
"Chicken, NS as to part, rotisserie, NS as to skin eaten",135.0
"Chicken, NS as to part, rotisserie, skin eaten",135.0
"Chicken, NS as to part, rotisserie, skin not eaten",135.0
"Chicken, NS as to part, stewed, NS as to skin eaten",135.0
"Chicken, NS as to part, stewed, skin eaten",135.0
"Chicken, NS as to part, stewed, skin not eaten",135.0
"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",135.0
"Chicken, NS as to part, grilled without sauce, skin eaten",135.0
"Chicken, NS as to part, grilled without sauce, skin not eaten",135.0
"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",135.0
"Chicken, NS as to part, grilled with sauce, skin eaten",135.0
"Chicken, NS as to part, grilled with sauce, skin not eaten",135.0
"Chicken, NS as to part, sauteed, skin eaten",135.0
"Chicken, NS as to part, sauteed, skin not eaten",135.0
"Chicken, NS as to part, fried, coated, skin / coating eaten",135.0
"Chicken, NS as to part, fried, coated, skin / coating not eaten",135.0
"Chicken, NS as to part, baked, coated, skin / coating eaten",135.0
"Chicken, NS as to part, baked, coated, skin / coating not eaten",135.0
"Chicken breast, NS as to cooking method, skin eaten",135.0
"Chicken breast, NS as to cooking method, skin not eaten",135.0
"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",135.0
"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",135.0
"Chicken breast, baked or broiled, skin eaten, from pre-cooked",135.0
"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",135.0
"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant",135.0
"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant",135.0
"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw",135.0
"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw",135.0
"Chicken breast, rotisserie, skin eaten",135.0
"Chicken breast, rotisserie, skin not eaten",135.0
"Chicken breast, stewed, skin eaten",135.0
"Chicken breast, stewed, skin not eaten",135.0
"Chicken breast, grilled without sauce, skin eaten",135.0
"Chicken breast, grilled without sauce, skin not eaten",135.0
"Chicken breast, grilled with sauce, skin eaten",135.0
"Chicken breast, grilled with sauce, skin not eaten",135.0
"Chicken breast, sauteed, skin eaten",135.0
"Chicken breast, sauteed, skin not eaten",135.0
"Chicken breast, fried, coated, skin / coating eaten, from raw",135.0
"Chicken breast, fried, coated, skin / coating not eaten, from raw",135.0
"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",135.0
"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked",135.0
"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked",135.0
"Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant",135.0
"Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant",135.0
"Chicken breast, baked, coated, skin / coating eaten",135.0
"Chicken breast, baked, coated, skin / coating not eaten",135.0
"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten",135.0
"Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten",135.0
"Chicken leg, drumstick and thigh, baked or broiled, skin eaten",135.0
"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten",135.0
"Chicken leg, drumstick and thigh, rotisserie, skin eaten",135.0
"Chicken leg, drumstick and thigh, rotisserie, skin not eaten",135.0
"Chicken leg, drumstick and thigh, stewed, skin eaten",135.0
"Chicken leg, drumstick and thigh, stewed, skin not eaten",135.0
"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten",135.0
