Alimento,Grupo,Porción,Gramos,precio100g,Precio,kcal_por_g,"Calcium, Ca",Retinol,Lycopene,MUFA 20:1,PUFA 20:5 n-3 (EPA),SFA 14:0,Total Sugars,"Carotene, beta",Total lipid (fat),Thiamin,"Vitamin B-12, added",PUFA 18:3,PUFA 18:2,"Phosphorus, P",Energy,Folic acid,Vitamin E (alpha-tocopherol),Vitamin B-6,Niacin,"Folate, DFE","Cryptoxanthin, beta","Fatty acids, total saturated",SFA 8:0,"Zinc, Zn","Magnesium, Mg","Folate, food",SFA 12:0,SFA 16:0,"Alcohol, ethyl","Fatty acids, total monounsaturated","Copper, Cu",PUFA 20:4,"Choline, total","Carbohydrate, by difference",Riboflavin,"Carotene, alpha",Vitamin K (phylloquinone),Cholesterol,Vitamin B-12,Caffeine,SFA 6:0,PUFA 22:6 n-3 (DHA),Protein,PUFA 18:4,"Fiber, total dietary",MUFA 16:1,"Fatty acids, total polyunsaturated",PUFA 22:5 n-3 (DPA),Lutein + zeaxanthin,Vitamin D (D2 + D3),"Potassium, K","Iron, Fe",SFA 10:0,Water,MUFA 22:1,"Selenium, Se","Vitamin A, RAE","Vitamin E, added","Folate, total","Sodium, Na","Vitamin C, total ascorbic acid",Theobromine,SFA 18:0,MUFA 18:1,SFA 4:0
"Cookie, graham cracker with chocolate and marshmallow",Galletas,1 suddenly s'mores cookie,19.0,1.3,0.26,24.473684210526315,122.0,30.0,0.0,0.011,0.0,0.606,43.87,0.0,18.57,0.139,0.0,0.264,2.169,167.0,465.0,21.0,0.75,0.069,1.648,47.0,0.0,9.964,0.057,1.49,45.0,11.0,0.13,4.593,0.0,4.486,0.321,0.002,25.4,68.97,0.255,0.0,7.5,12.0,0.38,10.0,0.05,0.0,6.36,0.0,2.8,0.211,2.455,0.0,28.0,0.0,245.0,2.46,0.125,4.6,0.0,4.6,30.0,0.0,33.0,221.0,0.0,104.0,4.144,3.904,0.184
"Cookie bar, with chocolate, nuts, and graham crackers",Galletas,quantity not specified,244.0,1.3,3.1,2.0163934426229506,21.0,0.0,0.0,0.033,0.0,0.064,32.9,0.0,24.72,0.292,0.0,0.877,7.519,109.0,492.0,29.0,2.01,0.058,2.665,92.0,0.0,8.091,0.003,0.72,41.0,43.0,0.011,4.451,0.0,6.272,0.323,0.009,10.5,65.36,0.297,0.0,33.7,0.0,0.03,11.0,0.0,0.0,5.1,0.0,2.0,0.033,8.417,0.0,1.0,0.0,171.0,5.58,0.01,3.57,0.007,3.9,0.0,0.0,72.0,311.0,0.0,83.0,3.308,6.188,0.0
"Cookie, coconut",Galletas,1 miniature/bite size,30.0,1.3,0.4,15.333333333333334,5.0,0.0,0.0,0.0,0.0,3.953,45.16,0.0,22.55,0.02,0.0,0.048,0.762,68.0,460.0,0.0,0.19,0.096,0.22,3.0,0.0,20.099,1.58,0.73,29.0,3.0,10.009,1.987,0.0,1.61,0.269,0.0,9.1,61.22,0.06,0.0,1.1,0.0,0.0,0.0,0.128,0.0,3.02,0.0,5.1,0.004,0.81,0.0,0.0,0.0,123.0,0.82,1.256,11.5,0.0,6.8,0.0,0.0,3.0,241.0,0.0,0.0,1.186,1.606,0.0
"Cookie, fruit-filled bar",Galletas,1 small bar,25.0,1.3,0.32,13.92,64.0,9.0,0.0,0.0,0.0,0.013,46.36,1.0,7.3,0.158,0.0,0.182,2.583,62.0,348.0,25.0,0.65,0.075,1.874,53.0,0.0,1.123,0.0,0.39,27.0,10.0,0.0,0.747,0.0,3.003,0.147,0.0,14.6,70.9,0.217,0.0,5.8,0.0,0.09,0.0,0.0,0.0,3.7,0.0,4.6,0.029,2.772,0.0,8.0,0.0,207.0,2.9,0.001,16.5,0.0,3.3,9.0,0.0,35.0,350.0,0.3,0.0,0.355,2.966,0.002
"Cookie, fig bar",Galletas,1 mini fig newton,6.3,1.3,0.08,55.23809523809524,64.0,9.0,0.0,0.0,0.0,0.013,46.36,1.0,7.3,0.158,0.0,0.182,2.583,62.0,348.0,25.0,0.65,0.075,1.874,53.0,0.0,1.123,0.0,0.39,27.0,10.0,0.0,0.747,0.0,3.003,0.147,0.0,14.6,70.9,0.217,0.0,5.8,0.0,0.09,0.0,0.0,0.0,3.7,0.0,4.6,0.029,2.772,0.0,8.0,0.0,207.0,2.9,0.001,16.5,0.0,3.3,9.0,0.0,35.0,350.0,0.3,0.0,0.355,2.966,0.002
"Cookie, fortune",Galletas,1 cookie,32.0,1.3,0.4,11.8125,12.0,1.0,0.0,0.001,0.0,0.012,45.42,0.0,2.7,0.182,0.0,0.024,0.438,35.0,378.0,56.0,0.03,0.013,1.84,105.0,0.0,0.669,0.0,0.17,7.0,10.0,0.0,0.378,0.0,1.345,0.06,0.003,6.0,84.0,0.13,0.0,1.1,2.0,0.01,0.0,0.0,0.001,4.2,0.0,1.6,0.008,0.466,0.0,3.0,0.0,41.0,1.44,0.0,8.0,0.0,2.9,1.0,0.0,66.0,31.0,0.0,0.0,0.276,1.337,0.0
"Cookie, cone shell, ice cream type, wafer or cake",Galletas,1 cone,125.0,1.3,1.7,3.336,25.0,0.0,0.0,0.0,0.0,0.018,6.0,0.0,6.9,0.25,0.0,0.188,3.076,97.0,417.0,168.0,0.78,0.03,4.427,291.0,0.0,1.222,0.0,0.67,26.0,5.0,0.0,0.976,0.0,1.845,0.204,0.0,9.4,79.0,0.354,0.0,1.8,0.0,0.0,0.0,0.0,0.0,8.1,0.0,3.0,0.012,3.264,0.0,17.0,0.0,112.0,3.6,0.0,5.3,0.0,4.8,0.0,0.0,173.0,256.0,0.0,0.0,0.228,1.833,0.0
"Cookie, gingersnaps",Galletas,1 miniature/bite size,30.0,1.3,0.39,13.866666666666667,77.0,0.0,0.0,0.0,0.0,0.048,19.92,1.0,9.8,0.2,0.0,0.073,1.298,83.0,416.0,82.0,0.97,0.098,3.235,145.0,0.0,2.451,0.001,0.55,49.0,6.0,0.004,1.279,0.0,5.365,0.305,0.0,8.8,76.9,0.293,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2.2,0.002,1.372,0.0,2.0,0.0,346.0,6.4,0.002,5.3,0.0,5.1,0.0,0.0,87.0,555.0,0.0,0.0,1.111,5.363,0.0
"Cookie, granola",Galletas,1 miniature/bite size,30.0,1.3,0.38,15.466666666666667,60.0,0.0,0.0,0.001,0.0,2.357,27.52,91.0,17.6,0.28,0.0,0.011,1.574,277.0,464.0,0.0,0.82,0.35,1.75,81.0,0.0,12.69,1.005,1.6,101.0,81.0,6.135,1.701,0.0,1.933,0.36,0.0,27.6,66.7,0.11,0.0,15.9,0.0,0.0,0.0,0.081,0.0,9.8,0.0,3.1,0.007,1.634,0.0,107.0,0.0,326.0,3.18,0.802,4.1,0.0,16.0,8.0,0.0,81.0,251.0,1.0,0.0,0.562,1.926,0.0
"Cookie, ladyfinger",Galletas,"1 ladyfinger (3"" x 1-1/8"" x 1"")",8.3,1.3,0.1,43.97590361445783,47.0,0.0,0.0,0.027,0.004,0.034,25.39,22.0,9.1,0.284,0.0,0.038,1.206,173.0,365.0,23.0,0.63,0.122,2.104,76.0,8.0,3.069,0.003,1.14,12.0,37.0,0.003,2.209,0.0,3.754,0.095,0.139,92.0,59.7,0.428,9.0,0.2,221.0,0.75,0.0,0.0,0.036,10.6,0.0,1.0,0.293,1.422,0.0,266.0,0.6,113.0,3.58,0.003,19.5,0.003,21.1,3.0,0.0,60.0,147.0,3.7,0.0,0.771,3.422,0.0
"Cookie, lemon bar",Galletas,quantity not specified,244.0,1.3,3.07,1.790983606557377,41.0,191.0,0.0,0.027,0.0,0.015,42.07,126.0,18.94,0.208,0.0,0.428,4.948,72.0,437.0,25.0,2.07,0.032,1.571,57.0,3.0,3.753,0.0,0.42,10.0,15.0,0.0,2.198,0.0,8.688,0.045,0.0,54.4,62.65,0.192,0.0,19.3,75.0,0.17,0.0,0.0,0.0,5.13,0.0,0.8,0.053,5.443,0.001,97.0,1.2,71.0,1.84,0.001,12.28,0.0,10.0,201.0,0.0,40.0,224.0,3.5,0.0,1.421,8.595,0.0
"Cookie, macaroon",Galletas,quantity not specified,244.0,1.3,3.18,1.8852459016393444,5.0,0.0,0.0,0.0,0.0,3.953,45.16,0.0,22.55,0.02,0.0,0.048,0.762,68.0,460.0,0.0,0.19,0.096,0.22,3.0,0.0,20.099,1.58,0.73,29.0,3.0,10.009,1.987,0.0,1.61,0.269,0.0,9.1,61.22,0.06,0.0,1.1,0.0,0.0,0.0,0.128,0.0,3.02,0.0,5.1,0.004,0.81,0.0,0.0,0.0,123.0,0.82,1.256,11.5,0.0,6.8,0.0,0.0,3.0,241.0,0.0,0.0,1.186,1.606,0.0
"Cookie, marshmallow, with coconut",Galletas,quantity not specified,244.0,1.3,3.12,1.7254098360655739,46.0,1.0,0.0,0.0,0.0,0.086,44.8,0.0,16.9,0.093,0.0,0.096,1.847,97.0,421.0,20.0,0.14,0.062,0.784,37.0,0.0,4.722,0.001,0.65,36.0,3.0,0.001,2.367,0.0,9.345,0.262,0.0,13.6,67.7,0.208,0.0,7.0,0.0,0.17,5.0,0.001,0.0,4.0,0.0,2.0,0.003,1.943,0.0,3.0,0.0,182.0,2.53,0.001,10.1,0.0,4.4,1.0,0.0,23.0,188.0,0.1,159.0,2.249,9.341,0.004
"Cookie, marshmallow, with rice cereal, no bake",Galletas,quantity not specified,244.0,1.3,3.28,1.709016393442623,3.0,270.0,0.0,0.018,0.0,0.009,19.36,0.0,9.0,0.7,0.0,0.579,4.346,42.0,417.0,199.0,0.0,0.9,9.1,381.0,0.0,1.4,0.0,0.5,13.0,42.0,0.0,0.878,0.0,2.5,0.1,0.0,0.0,80.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.018,5.1,0.0,0.0,0.0,39.0,2.2,0.0,5.9,0.0,11.0,270.0,0.0,241.0,351.0,0.0,0.0,0.324,1.943,0.0
"Cookie, marshmallow, with rice cereal and chocolate chips",Galletas,quantity not specified,244.0,1.3,3.15,1.7827868852459017,0.0,40.0,0.0,0.008,0.0,1.356,40.91,32.0,18.18,0.682,0.0,0.147,1.626,98.0,435.0,32.0,0.72,0.909,5.455,59.0,0.0,11.364,0.27,1.11,51.0,4.0,3.849,2.873,0.0,4.207,0.432,0.0,8.2,63.26,0.773,0.0,6.9,0.0,0.04,8.0,0.017,0.0,4.55,0.0,0.0,0.011,1.773,0.0,4.0,0.9,227.0,1.64,0.303,12.27,0.0,4.2,43.0,0.0,36.0,341.0,0.0,204.0,2.581,4.189,0.001
"Cookie, marshmallow and peanut butter, with oat cereal, no bake",Galletas,quantity not specified,244.0,1.3,3.09,1.709016393442623,3.0,270.0,0.0,0.018,0.0,0.009,19.36,0.0,9.0,0.7,0.0,0.579,4.346,42.0,417.0,199.0,0.0,0.9,9.1,381.0,0.0,1.4,0.0,0.5,13.0,42.0,0.0,0.878,0.0,2.5,0.1,0.0,0.0,80.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.018,5.1,0.0,0.0,0.0,39.0,2.2,0.0,5.9,0.0,11.0,270.0,0.0,241.0,351.0,0.0,0.0,0.324,1.943,0.0
"Cookie, meringue",Galletas,quantity not specified,244.0,1.3,3.21,1.4344262295081966,5.0,0.0,0.0,0.0,0.0,0.0,80.58,0.0,0.26,0.002,0.0,0.0,0.0,8.0,350.0,0.0,0.0,0.003,0.052,2.0,0.0,0.0,0.0,0.02,6.0,2.0,0.0,0.0,0.0,0.0,0.018,0.0,0.5,81.3,0.212,0.0,0.0,0.0,0.04,0.0,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.08,0.0,12.0,0.0,9.9,0.0,0.0,2.0,244.0,0.0,0.0,0.0,0.0,0.0
"Cookie, molasses",Galletas,1 miniature/bite size,30.0,1.3,0.4,14.333333333333334,74.0,0.0,0.0,0.0,0.0,0.062,17.6,0.0,12.8,0.355,0.0,0.088,1.641,95.0,430.0,82.0,0.11,0.104,3.031,146.0,0.0,3.212,0.0,0.45,52.0,7.0,0.0,1.666,0.0,7.13,0.373,0.0,8.4,73.8,0.264,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.6,0.0,1.0,0.002,1.729,0.0,2.0,0.0,346.0,6.43,0.0,5.8,0.0,5.6,0.0,0.0,89.0,459.0,0.0,0.0,1.48,7.128,0.0
"Cookie, Lebkuchen",Galletas,quantity not specified,244.0,1.3,3.07,1.7622950819672132,74.0,0.0,0.0,0.0,0.0,0.062,17.6,0.0,12.8,0.355,0.0,0.088,1.641,95.0,430.0,82.0,0.11,0.104,3.031,146.0,0.0,3.212,0.0,0.45,52.0,7.0,0.0,1.666,0.0,7.13,0.373,0.0,8.4,73.8,0.264,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.6,0.0,1.0,0.002,1.729,0.0,2.0,0.0,346.0,6.43,0.0,5.8,0.0,5.6,0.0,0.0,89.0,459.0,0.0,0.0,1.48,7.128,0.0
"Cookie, multigrain, high fiber",Galletas,1 cookie,32.0,1.3,0.4,14.5,60.0,0.0,0.0,0.001,0.0,2.357,27.52,91.0,17.6,0.28,0.0,0.011,1.574,277.0,464.0,0.0,0.82,0.35,1.75,81.0,0.0,12.69,1.005,1.6,101.0,81.0,6.135,1.701,0.0,1.933,0.36,0.0,27.6,66.7,0.11,0.0,15.9,0.0,0.0,0.0,0.081,0.0,9.8,0.0,3.1,0.007,1.634,0.0,107.0,0.0,326.0,3.18,0.802,4.1,0.0,16.0,8.0,0.0,81.0,251.0,1.0,0.0,0.562,1.926,0.0
"Cookie, oatmeal",Galletas,1 miniature/bite size,30.0,1.3,0.37,15.0,37.0,5.0,0.0,0.0,0.0,0.086,24.66,0.0,18.1,0.267,0.0,0.129,2.413,138.0,450.0,52.0,0.26,0.066,2.227,95.0,0.0,4.519,0.0,0.79,33.0,7.0,0.003,2.383,0.0,10.025,0.134,0.0,12.0,68.7,0.23,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,2.8,0.003,2.543,0.0,31.0,0.0,142.0,2.58,0.0,5.7,0.0,9.8,5.0,0.0,59.0,520.0,0.5,0.0,2.031,10.022,0.0
"Cookie, oatmeal, with raisins",Galletas,1 miniature/bite size,30.0,1.3,0.4,15.0,37.0,5.0,0.0,0.0,0.0,0.086,24.66,0.0,18.1,0.267,0.0,0.129,2.413,138.0,450.0,52.0,0.26,0.066,2.227,95.0,0.0,4.519,0.0,0.79,33.0,7.0,0.003,2.383,0.0,10.025,0.134,0.0,12.0,68.7,0.23,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,2.8,0.003,2.543,0.0,31.0,0.0,142.0,2.58,0.0,5.7,0.0,9.8,5.0,0.0,59.0,520.0,0.5,0.0,2.031,10.022,0.0
"Cookie, oatmeal, reduced fat, NS as to raisins",Galletas,quantity not specified,244.0,1.3,3.22,1.4959016393442623,0.0,86.0,0.0,0.011,0.0,0.015,32.14,68.0,10.04,0.234,0.0,0.181,2.086,92.0,365.0,32.0,1.1,0.044,1.537,76.0,0.0,4.09,0.0,0.61,32.0,21.0,0.005,2.402,0.0,3.332,0.131,0.001,13.1,64.62,0.404,0.0,11.3,20.0,0.08,0.0,0.0,0.0,4.02,0.0,16.1,0.009,2.269,0.001,25.0,0.0,274.0,1.45,0.0,19.46,0.0,24.7,92.0,0.0,54.0,562.0,0.0,0.0,1.519,3.312,0.0
"Cookie, oatmeal sandwich, with creme filling",Galletas,quantity not specified,244.0,1.3,3.16,1.6311475409836065,0.0,1.0,0.0,0.0,0.0,0.084,31.36,0.0,18.29,0.236,0.0,0.441,6.991,94.0,398.0,25.0,2.21,0.046,1.146,56.0,0.0,5.226,0.0,0.67,35.0,13.0,0.005,4.091,0.0,4.53,0.137,0.001,8.7,55.62,0.111,0.0,5.4,0.0,0.01,0.0,0.0,0.0,2.61,0.0,2.6,0.034,7.434,0.0,6.0,0.0,136.0,1.88,0.0,22.1,0.0,6.8,1.0,0.0,38.0,500.0,0.0,0.0,1.028,4.496,0.0
"Cookie, oatmeal, with chocolate chips",Galletas,1 miniature/bite size,30.0,1.3,0.4,15.233333333333333,36.0,4.0,0.0,0.0,0.0,0.07,31.74,0.0,20.92,0.217,0.0,0.115,2.054,137.0,457.0,40.0,0.26,0.059,1.8,76.0,0.0,7.659,0.0,0.99,52.0,8.0,0.002,3.561,0.0,10.011,0.268,0.0,14.4,67.56,0.197,0.0,7.4,0.0,0.0,15.0,0.0,0.0,5.72,0.0,3.5,0.017,2.169,0.0,28.0,0.0,195.0,2.71,0.0,4.51,0.0,8.5,4.0,0.0,48.0,399.0,0.4,115.0,3.924,9.994,0.0
"Cookie, oatmeal sandwich, with peanut butter and jelly filling",Galletas,1 miniature/bite size,30.0,1.3,0.4,13.266666666666667,0.0,1.0,0.0,0.0,0.0,0.084,31.36,0.0,18.29,0.236,0.0,0.441,6.991,94.0,398.0,25.0,2.21,0.046,1.146,56.0,0.0,5.226,0.0,0.67,35.0,13.0,0.005,4.091,0.0,4.53,0.137,0.001,8.7,55.62,0.111,0.0,5.4,0.0,0.01,0.0,0.0,0.0,2.61,0.0,2.6,0.034,7.434,0.0,6.0,0.0,136.0,1.88,0.0,22.1,0.0,6.8,1.0,0.0,38.0,500.0,0.0,0.0,1.028,4.496,0.0
"Cookie, oatmeal, with chocolate and peanut butter, no bake",Galletas,1 miniature/bite size,30.0,1.3,0.39,15.0,37.0,5.0,0.0,0.0,0.0,0.086,24.66,0.0,18.1,0.267,0.0,0.129,2.413,138.0,450.0,52.0,0.26,0.066,2.227,95.0,0.0,4.519,0.0,0.79,33.0,7.0,0.003,2.383,0.0,10.025,0.134,0.0,12.0,68.7,0.23,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,2.8,0.003,2.543,0.0,31.0,0.0,142.0,2.58,0.0,5.7,0.0,9.8,5.0,0.0,59.0,520.0,0.5,0.0,2.031,10.022,0.0
"Cookie, peanut butter",Galletas,1 miniature/bite size,30.0,1.3,0.4,15.766666666666667,41.0,9.0,0.0,0.13,0.004,0.083,28.58,1.0,23.82,0.208,0.0,0.088,3.503,156.0,473.0,30.0,3.53,0.122,3.86,78.0,0.0,6.751,0.0,0.86,44.0,27.0,0.017,4.475,0.0,10.8,0.153,0.012,10.0,58.15,0.208,0.0,4.4,27.0,0.04,0.0,0.0,0.0,8.92,0.0,2.1,0.026,3.61,0.0,14.0,0.0,202.0,2.11,0.0,7.28,0.008,6.3,9.0,0.0,57.0,463.0,0.0,0.0,1.513,10.625,0.0
"Cookie, peanut butter, with chocolate",Galletas,1 miniature/bite size,30.0,1.3,0.38,15.833333333333334,39.0,7.0,0.0,0.099,0.003,0.068,34.73,1.0,25.29,0.172,0.0,0.083,2.885,150.0,475.0,23.0,2.75,0.101,3.045,63.0,0.0,9.361,0.0,1.04,61.0,24.0,0.013,5.156,0.0,10.602,0.283,0.009,12.8,59.51,0.18,0.0,4.7,21.0,0.03,15.0,0.0,0.0,7.8,0.0,3.0,0.035,2.983,0.0,15.0,0.0,241.0,2.35,0.0,5.72,0.006,5.8,7.0,0.0,47.0,356.0,0.0,115.0,3.529,10.454,0.0
"Cookie, peanut butter with rice cereal, no bake",Galletas,quantity not specified,244.0,1.3,3.05,1.709016393442623,3.0,270.0,0.0,0.018,0.0,0.009,19.36,0.0,9.0,0.7,0.0,0.579,4.346,42.0,417.0,199.0,0.0,0.9,9.1,381.0,0.0,1.4,0.0,0.5,13.0,42.0,0.0,0.878,0.0,2.5,0.1,0.0,0.0,80.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.018,5.1,0.0,0.0,0.0,39.0,2.2,0.0,5.9,0.0,11.0,270.0,0.0,241.0,351.0,0.0,0.0,0.324,1.943,0.0
"Cookie, peanut butter sandwich",Galletas,quantity not specified,244.0,1.3,3.1,1.959016393442623,53.0,1.0,0.0,0.059,0.0,0.107,35.44,0.0,21.1,0.325,0.0,0.107,3.688,188.0,478.0,46.0,1.87,0.139,3.739,93.0,0.0,4.995,0.001,1.06,49.0,15.0,0.006,2.649,0.0,11.191,0.237,0.0,18.7,65.6,0.263,0.0,3.9,0.0,0.23,0.0,0.001,0.0,8.8,0.0,1.9,0.0,3.795,0.0,7.0,0.0,192.0,2.6,0.002,2.8,0.0,7.7,1.0,0.0,61.0,368.0,0.1,0.0,1.98,11.126,0.006
"Cookie, with peanut butter filling, chocolate-coated",Galletas,1 miniature/bite size,30.0,1.3,0.37,18.733333333333334,35.0,0.0,0.0,0.123,0.0,0.197,30.9,0.0,35.3,0.14,0.0,0.242,6.058,37.0,562.0,16.0,4.32,0.102,4.5,74.0,0.0,19.2,0.0,0.2,17.0,47.0,0.0,13.805,0.0,8.4,0.585,0.0,17.5,52.9,0.09,0.0,4.7,0.0,0.01,21.0,0.0,0.0,8.1,0.0,3.5,0.025,6.3,0.0,8.0,0.0,217.0,2.1,0.0,1.8,0.0,7.3,0.0,0.0,63.0,371.0,0.0,186.0,4.675,8.251,0.001
"Cookie, Pfeffernusse",Galletas,quantity not specified,244.0,1.3,3.18,2.1065573770491803,13.0,0.0,0.0,0.053,0.001,0.456,21.65,1.0,26.22,0.353,0.0,0.918,7.374,66.0,514.0,61.0,2.44,0.071,3.275,124.0,0.0,8.105,0.043,0.49,14.0,20.0,0.126,5.143,0.0,6.708,0.09,0.017,0.9,63.78,0.314,0.0,11.0,0.0,0.0,0.0,0.067,0.0,5.37,0.0,1.3,0.089,8.326,0.002,29.0,0.0,88.0,2.98,0.1,3.6,0.001,6.2,0.0,0.0,81.0,353.0,0.0,0.0,1.842,6.515,0.086
"Cookie, Pizzelle",Galletas,1 wafer or rosette,13.0,1.3,0.18,32.07692307692308,25.0,0.0,0.0,0.0,0.0,0.018,6.0,0.0,6.9,0.25,0.0,0.188,3.076,97.0,417.0,168.0,0.78,0.03,4.427,291.0,0.0,1.222,0.0,0.67,26.0,5.0,0.0,0.976,0.0,1.845,0.204,0.0,9.4,79.0,0.354,0.0,1.8,0.0,0.0,0.0,0.0,0.0,8.1,0.0,3.0,0.012,3.264,0.0,17.0,0.0,112.0,3.6,0.0,5.3,0.0,4.8,0.0,0.0,173.0,256.0,0.0,0.0,0.228,1.833,0.0
"Cookie, pumpkin",Galletas,1 mini or bite size cookie,5.0,1.3,0.06,90.0,37.0,5.0,0.0,0.0,0.0,0.086,24.66,0.0,18.1,0.267,0.0,0.129,2.413,138.0,450.0,52.0,0.26,0.066,2.227,95.0,0.0,4.519,0.0,0.79,33.0,7.0,0.003,2.383,0.0,10.025,0.134,0.0,12.0,68.7,0.23,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,2.8,0.003,2.543,0.0,31.0,0.0,142.0,2.58,0.0,5.7,0.0,9.8,5.0,0.0,59.0,520.0,0.5,0.0,2.031,10.022,0.0
"Cookie, raisin",Galletas,1 miniature/bite size,30.0,1.3,0.38,13.366666666666667,46.0,2.0,0.0,0.0,0.001,0.067,47.56,1.0,13.6,0.216,0.0,0.092,1.66,83.0,401.0,23.0,2.22,0.052,1.967,48.0,1.0,3.46,0.0,0.32,21.0,9.0,0.0,1.795,0.0,7.649,0.413,0.002,14.7,68.0,0.206,0.0,3.9,2.0,0.03,0.0,0.0,0.001,4.1,0.0,1.2,0.006,1.756,0.0,37.0,0.0,140.0,2.29,0.0,13.1,0.0,2.8,2.0,0.0,32.0,418.0,0.4,0.0,1.594,7.642,0.0
"Cookie, raisin sandwich, cream-filled",Galletas,1 miniature/bite size,30.0,1.3,0.39,13.266666666666667,0.0,1.0,0.0,0.0,0.0,0.084,31.36,0.0,18.29,0.236,0.0,0.441,6.991,94.0,398.0,25.0,2.21,0.046,1.146,56.0,0.0,5.226,0.0,0.67,35.0,13.0,0.005,4.091,0.0,4.53,0.137,0.001,8.7,55.62,0.111,0.0,5.4,0.0,0.01,0.0,0.0,0.0,2.61,0.0,2.6,0.034,7.434,0.0,6.0,0.0,136.0,1.88,0.0,22.1,0.0,6.8,1.0,0.0,38.0,500.0,0.0,0.0,1.028,4.496,0.0
"Cookie, rum ball, no bake",Galletas,1 ball,85.0,1.3,1.15,6.047058823529412,13.0,0.0,0.0,0.053,0.001,0.456,21.65,1.0,26.22,0.353,0.0,0.918,7.374,66.0,514.0,61.0,2.44,0.071,3.275,124.0,0.0,8.105,0.043,0.49,14.0,20.0,0.126,5.143,0.0,6.708,0.09,0.017,0.9,63.78,0.314,0.0,11.0,0.0,0.0,0.0,0.067,0.0,5.37,0.0,1.3,0.089,8.326,0.002,29.0,0.0,88.0,2.98,0.1,3.6,0.001,6.2,0.0,0.0,81.0,353.0,0.0,0.0,1.842,6.515,0.086
"Cookie, sandwich-type, not chocolate or vanilla",Galletas,1 miniature/bite size,30.0,1.3,0.38,16.1,27.0,0.0,0.0,0.0,0.0,0.02,39.3,0.0,20.0,0.261,0.0,0.52,7.011,75.0,483.0,46.0,1.6,0.018,2.69,82.0,0.0,2.979,0.0,0.4,14.0,4.0,0.0,1.976,0.0,8.437,0.114,0.0,4.1,72.1,0.243,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,1.5,0.08,7.551,0.0,1.0,0.0,91.0,2.21,0.0,2.2,0.0,3.0,0.0,0.0,50.0,388.0,0.0,0.0,0.979,8.338,0.0
"Cookie, shortbread",Galletas,1 miniature/bite size,30.0,1.3,0.39,17.133333333333333,13.0,0.0,0.0,0.053,0.001,0.456,21.65,1.0,26.22,0.353,0.0,0.918,7.374,66.0,514.0,61.0,2.44,0.071,3.275,124.0,0.0,8.105,0.043,0.49,14.0,20.0,0.126,5.143,0.0,6.708,0.09,0.017,0.9,63.78,0.314,0.0,11.0,0.0,0.0,0.0,0.067,0.0,5.37,0.0,1.3,0.089,8.326,0.002,29.0,0.0,88.0,2.98,0.1,3.6,0.001,6.2,0.0,0.0,81.0,353.0,0.0,0.0,1.842,6.515,0.086
"Cookie, shortbread, reduced fat",Galletas,1 miniature/bite size,30.0,1.3,0.37,15.033333333333333,13.0,0.0,0.0,0.0,0.0,0.933,21.65,1.0,14.0,0.353,0.0,0.167,5.308,66.0,451.0,45.0,2.44,0.071,3.275,113.0,0.0,4.694,0.188,0.49,14.0,36.0,2.675,0.511,0.0,3.13,0.09,0.0,1.5,75.99,0.314,0.0,3.5,0.0,0.0,0.0,0.011,0.0,5.37,0.0,1.3,0.001,6.057,0.0,24.0,0.0,88.0,2.98,0.211,3.6,0.0,6.2,0.0,0.0,81.0,571.0,0.0,0.0,0.165,3.129,0.0
"Cookie, shortbread, with icing or filling",Galletas,1 miniature/bite size,30.0,1.3,0.38,17.166666666666668,16.0,0.0,0.0,0.044,0.001,0.37,27.34,1.0,28.31,0.291,0.0,0.778,6.528,77.0,515.0,49.0,2.1,0.063,2.685,101.0,0.0,10.214,0.034,0.69,32.0,18.0,0.1,5.69,0.0,7.963,0.202,0.014,4.8,62.6,0.266,0.0,10.8,0.0,0.0,12.0,0.053,0.0,5.05,0.0,2.1,0.083,7.333,0.002,26.0,0.0,138.0,2.95,0.08,2.99,0.001,5.7,0.0,0.0,67.0,283.0,0.0,90.0,3.538,7.796,0.068
Pocky,Galletas,1 stick,28.0,1.3,0.38,15.964285714285714,50.0,1.0,0.0,0.0,0.0,0.013,25.0,1.0,22.5,0.071,0.0,0.007,6.71,184.0,447.0,0.0,8.87,0.048,0.641,17.0,0.0,12.584,0.001,0.9,36.0,17.0,0.003,7.134,0.0,2.065,0.225,0.0,4.4,51.08,0.199,0.0,1.7,0.0,0.4,2.0,0.002,0.0,10.0,0.0,5.0,0.002,6.717,0.0,7.0,0.0,181.0,0.9,0.002,15.09,0.0,14.7,1.0,0.0,17.0,213.0,0.0,64.0,5.425,2.064,0.003
