Alimento,Grupo,Porción,Gramos,precio100g,Precio,kcal_por_g,"Calcium, Ca",Retinol,Lycopene,MUFA 20:1,PUFA 20:5 n-3 (EPA),SFA 14:0,Total Sugars,"Carotene, beta",Total lipid (fat),Thiamin,"Vitamin B-12, added",PUFA 18:3,PUFA 18:2,"Phosphorus, P",Energy,Folic acid,Vitamin E (alpha-tocopherol),Vitamin B-6,Niacin,"Folate, DFE","Cryptoxanthin, beta","Fatty acids, total saturated",SFA 8:0,"Zinc, Zn","Magnesium, Mg","Folate, food",SFA 12:0,SFA 16:0,"Alcohol, ethyl","Fatty acids, total monounsaturated","Copper, Cu",PUFA 20:4,"Choline, total","Carbohydrate, by difference",Riboflavin,"Carotene, alpha",Vitamin K (phylloquinone),Cholesterol,Vitamin B-12,Caffeine,SFA 6:0,PUFA 22:6 n-3 (DHA),Protein,PUFA 18:4,"Fiber, total dietary",MUFA 16:1,"Fatty acids, total polyunsaturated",PUFA 22:5 n-3 (DPA),Lutein + zeaxanthin,Vitamin D (D2 + D3),"Potassium, K","Iron, Fe",SFA 10:0,Water,MUFA 22:1,"Selenium, Se","Vitamin A, RAE","Vitamin E, added","Folate, total","Sodium, Na","Vitamin C, total ascorbic acid",Theobromine,SFA 18:0,MUFA 18:1,SFA 4:0
"Turkey, nuggets",Pollo,1 nugget,7.0,0.88,0.06,33.714285714285715,54.0,3.0,0.0,0.016,0.005,0.034,1.48,0.0,8.66,0.263,0.0,0.165,2.298,207.0,236.0,20.0,0.35,0.45,8.523,45.0,0.0,2.257,0.0,1.97,30.0,12.0,0.008,1.257,0.0,3.075,0.124,0.044,59.3,17.14,0.282,0.0,4.1,60.0,1.28,0.0,0.0,0.003,22.19,0.0,1.1,0.08,2.54,0.004,0.0,0.2,217.0,1.7,0.004,50.7,0.0,27.9,3.0,0.0,31.0,334.0,0.0,0.0,0.894,2.972,0.0
"Turkey bacon, cooked",Cerdo,"1 oz, cooked",28.35,3.2,0.88,12.980599647266313,163.0,19.0,0.0,0.128,0.024,0.222,4.24,0.0,25.87,0.049,0.0,0.354,6.189,416.0,368.0,0.0,0.14,0.374,8.102,15.0,0.0,6.933,0.001,4.71,30.0,15.0,0.041,4.715,0.0,9.382,0.118,0.175,87.9,4.24,0.398,0.0,0.0,153.0,1.88,0.0,0.005,0.012,29.5,0.001,0.0,0.751,6.871,0.017,0.0,1.2,666.0,2.63,0.006,34.46,0.005,28.5,19.0,0.0,15.0,2021.0,0.0,0.0,1.797,8.425,0.001
"Turkey bacon, reduced sodium, cooked",Cerdo,"1 oz, cooked",28.35,3.2,0.92,8.92416225749559,10.0,8.0,0.0,0.168,0.004,0.131,0.0,0.0,20.0,0.029,0.0,1.103,3.104,145.0,253.0,0.0,2.7,0.401,6.222,6.0,0.0,6.667,0.0,1.61,19.0,6.0,0.042,4.214,0.0,8.571,0.063,0.037,56.9,4.8,0.183,0.0,10.8,100.0,0.66,0.0,0.0,0.002,13.33,0.0,0.0,0.149,4.275,0.004,0.0,0.2,156.0,0.72,0.01,58.93,0.0,19.4,8.0,0.0,6.0,900.0,24.0,0.0,1.8,8.242,0.0
"Duck, cooked, skin eaten",Pollo,"1/2 duck (yield after cooking, bone removed)",380.0,0.88,3.3,0.8842105263157894,11.0,63.0,0.0,0.259,0.0,0.169,0.0,0.0,28.23,0.173,0.0,0.289,3.346,155.0,336.0,0.0,0.7,0.179,4.805,6.0,0.0,9.63,0.0,1.85,16.0,6.0,0.04,6.772,0.0,12.846,0.226,0.0,50.2,0.0,0.268,0.0,5.1,84.0,0.3,0.0,0.0,0.0,18.91,0.0,0.0,1.105,3.635,0.0,0.0,0.1,203.0,2.69,0.0,51.62,0.0,19.9,63.0,0.0,6.0,221.0,0.0,0.0,2.42,11.472,0.0
"Duck, cooked, skin not eaten",Pollo,"1/2 duck (yield after cooking, bone and skin removed)",220.0,0.88,2.03,0.9090909090909091,12.0,23.0,0.0,0.042,0.0,0.052,0.0,0.0,11.15,0.259,0.0,0.145,1.335,202.0,200.0,0.0,0.7,0.249,5.079,10.0,0.0,3.934,0.0,2.59,20.0,10.0,0.042,2.526,0.0,3.842,0.23,0.0,64.7,0.0,0.468,0.0,3.8,89.0,0.4,0.0,0.0,0.0,23.38,0.0,0.0,0.445,1.481,0.0,0.0,0.1,251.0,2.69,0.0,63.95,0.0,22.3,23.0,0.0,10.0,227.0,0.0,0.0,1.315,3.355,0.0
"Duck, roasted, skin eaten",Pollo,"1/2 duck (yield after cooking, bone removed)",380.0,0.88,3.46,0.8842105263157894,11.0,63.0,0.0,0.259,0.0,0.169,0.0,0.0,28.23,0.173,0.0,0.289,3.346,155.0,336.0,0.0,0.7,0.179,4.805,6.0,0.0,9.63,0.0,1.85,16.0,6.0,0.04,6.772,0.0,12.846,0.226,0.0,50.2,0.0,0.268,0.0,5.1,84.0,0.3,0.0,0.0,0.0,18.91,0.0,0.0,1.105,3.635,0.0,0.0,0.1,203.0,2.69,0.0,51.62,0.0,19.9,63.0,0.0,6.0,221.0,0.0,0.0,2.42,11.472,0.0
"Duck, roasted, skin not eaten",Pollo,"1/2 duck (yield after cooking, bone and skin removed)",220.0,0.88,2.0,0.9090909090909091,12.0,23.0,0.0,0.042,0.0,0.052,0.0,0.0,11.15,0.259,0.0,0.145,1.335,202.0,200.0,0.0,0.7,0.249,5.079,10.0,0.0,3.934,0.0,2.59,20.0,10.0,0.042,2.526,0.0,3.842,0.23,0.0,64.7,0.0,0.468,0.0,3.8,89.0,0.4,0.0,0.0,0.0,23.38,0.0,0.0,0.445,1.481,0.0,0.0,0.1,251.0,2.69,0.0,63.95,0.0,22.3,23.0,0.0,10.0,227.0,0.0,0.0,1.315,3.355,0.0
"Duck, Peking",Pollo,"1 oz, cooked",28.35,0.88,0.25,5.432098765432099,9.0,16.0,97.0,0.093,0.0,0.046,4.41,9.0,11.76,0.071,0.0,0.243,2.379,45.0,154.0,0.0,0.92,0.085,1.397,6.0,0.0,3.093,0.0,0.55,9.0,6.0,0.01,2.175,0.0,5.149,0.093,0.0,15.3,6.47,0.099,0.0,5.3,22.0,0.08,0.0,0.0,0.0,5.32,0.0,0.3,0.303,2.624,0.0,0.0,0.0,107.0,0.79,0.0,75.44,0.0,5.4,17.0,0.0,6.0,287.0,12.2,0.0,0.767,4.748,0.0
"Goose, wild, roasted",Pollo,"1 cup, cooked, diced",135.0,0.88,1.18,2.251851851851852,13.0,21.0,0.0,0.02,0.0,0.11,0.0,0.0,21.83,0.077,0.0,0.179,2.231,269.0,304.0,0.0,1.73,0.368,4.151,2.0,0.0,6.841,0.0,2.61,22.0,2.0,0.04,4.511,0.0,10.207,0.263,0.0,66.2,0.0,0.322,0.0,5.1,91.0,0.41,0.0,0.0,0.0,25.06,0.0,0.0,0.677,2.509,0.0,0.0,0.1,328.0,2.82,0.0,51.73,0.0,21.7,21.0,0.0,2.0,232.0,0.0,0.0,1.802,9.48,0.0
"Cornish game hen, cooked, skin eaten",Pollo,"1 hen (1-1/4 lb, raw) (yield after cooking, bone removed)",305.0,0.88,2.62,0.8426229508196721,13.0,32.0,0.0,0.069,0.02,0.149,0.0,0.0,18.06,0.066,0.0,0.159,3.173,145.0,257.0,0.0,0.36,0.304,5.848,2.0,0.0,5.008,0.0,1.48,18.0,2.0,0.03,3.818,0.0,7.933,0.06,0.188,56.0,0.0,0.197,0.0,2.4,130.0,0.28,0.0,0.0,0.02,22.08,0.0,0.0,1.24,3.57,0.01,0.0,0.1,243.0,0.9,0.0,58.2,0.0,15.4,32.0,0.0,2.0,386.0,0.5,0.0,1.002,6.585,0.0
"Cornish game hen, cooked, skin not eaten",Pollo,"1 hen (1-1/4 lb, raw) (yield after cooking, bone and skin removed)",250.0,0.88,2.1,0.532,13.0,20.0,0.0,0.01,0.01,0.03,0.0,0.0,3.84,0.074,0.0,0.03,0.684,148.0,133.0,0.0,0.24,0.355,6.221,2.0,0.0,0.982,0.0,1.52,19.0,2.0,0.01,0.684,0.0,1.23,0.059,0.169,65.7,0.0,0.225,0.0,2.4,105.0,0.3,0.0,0.0,0.02,23.11,0.0,0.0,0.208,0.932,0.02,0.0,0.1,248.0,0.76,0.0,71.31,0.0,20.6,20.0,0.0,2.0,385.0,0.6,0.0,0.258,1.002,0.0
"Cornish game hen, roasted, skin eaten",Pollo,"1 hen (1-1/4 lb, raw) (yield after cooking, bone removed)",305.0,0.88,2.78,0.8426229508196721,13.0,32.0,0.0,0.069,0.02,0.149,0.0,0.0,18.06,0.066,0.0,0.159,3.173,145.0,257.0,0.0,0.36,0.304,5.848,2.0,0.0,5.008,0.0,1.48,18.0,2.0,0.03,3.818,0.0,7.933,0.06,0.188,56.0,0.0,0.197,0.0,2.4,130.0,0.28,0.0,0.0,0.02,22.08,0.0,0.0,1.24,3.57,0.01,0.0,0.1,243.0,0.9,0.0,58.2,0.0,15.4,32.0,0.0,2.0,386.0,0.5,0.0,1.002,6.585,0.0
